question;answer
"""Quelles sont les conditions de restitution des droits d’enregistrement au titre de l’achat de terres agricoles réalisés dans une activité concourant au développement agricole ?""";"""Toute déclaration d'investissement dans l'agriculture ouvre droit au remboursement des droits de mutation acquittés lors de l'achat des terres agricoles objet de l'investissement à condition de justifier le commencement des travaux relatifs audit investissement par une attestation délivrée par les services concernés de l'APIA. Ce droit est prescrit une année après la date de dépôt de déclaration d'investissement. (Article 30 du CII)."""
"""Quels sont les droits d’enregistrement exigibles pour l’acquisition de terrains destinés à la construction d’immeubles individuels à usage d’habitation ?""";"""Les acquisitions de terrains destinés à la construction d'immeubles individuels à usage d'habitation sont enregistrées aux droits progressifs suivants : jusqu'à 120 m² : 1 %, de 120,001 m² à 300 m² : 2 %, de 300,001 m² à 600 m² : 3 %, du-delà de 600 m² : 5 %"""
"""Quels sont les droits d’enregistrement exigibles pour l’acquisition d’habitation auprès d’un promoteur immobilier ?""";"""L'enregistrement du contrat d'acquisition de logements construits par un promoteur immobilier est soumis au droit proportionnel réduit de 3%."""
"""Quels sont les droits d’enregistrement exigibles sur les annexes des contrats de marché ?""";"""Les annexes des contrats de marché comportant augmentation de la valeur du marché sont soumises aux mêmes formalités relatives à l'enregistrement des marchés (droit d'enregistrement fixé à 0,5% et exonération des droits de timbre) et les autres annexes sont soumises à 20 dinars par annexe."""
"""Quels sont les droits d’enregistrement exigibles sur un contrat de location d’immeuble à usage professionnel ?""";"""Les baux de biens immeubles autres que ceux destinés à l'habitation sont enregistrés au taux proportionnel fixé à 1% du montant du loyer sans dépasser le loyer annuel."""
"""Doit-on présenter sa comptabilité aux agents de l'administration fiscale ?""";"""Oui, la comptabilité, les registres ainsi que les programmes, logiciels et applications informatiques utilisés pour l'arrêté des comptes et l'établissement des déclarations fiscales doivent être communiquées aux agents de l'administration fiscale dans les cas suivants : à leur demande et dans le cas d'une vérification fiscale approfondie, sur place et ce dans le cadre de l'exercice du droit de communication."""
"""Quelle est la durée de conservation de la comptabilité ?""";"""Les registres et les documents comptables doivent être conservés pendant une période qui ne peut être inférieure à dix ans."""
"""En quoi consiste la vérification préliminaire des déclarations, actes et écrits ?""";"""Cette vérification a pour but de rectifier les erreurs apparentes entachant les déclarations et ce sur la base des renseignements et documents dont dispose l'administration. Elle se déroule dans les bureaux de l'administration et ne nécessite pas l'information préalable du contribuable. Elle peut porter sur une ou plusieurs déclarations, un ou plusieurs impôts, elle ne met pas obstacle à une vérification ultérieure approfondie."""
"""Quelles sont les garanties offertes au contribuable lors d'une vérification préliminaire ?""";"""Le contribuable, informé par écrit des résultats de la vérification préliminaire, bénéficie d'un délai de trente jours à compter de la notification des résultats pour formuler ses observations. Il peut se faire assister par un conseil de son choix ou se faire représenter par un mandataire conformément à la loi."""
"""En quoi consiste la vérification approfondie de la situation fiscale du contribuable ?""";"""La vérification approfondie porte sur tout ou partie de la situation fiscale du contribuable. Elle est subordonnée à la notification d'un avis préalable au contribuable, au moins 15 jours avant son commencement."""
"""Comment se déclenche la vérification approfondie de la situation fiscale ?""";"""La vérification approfondie commence dans un délai minimum de 15 jours à partir de la notification de l'avis de vérification qui doit mentionner notamment les impôts et les années concernés."""
"""Quelle est la période vérifiable ?""";"""L'administration peut vérifier les impôts dans les délais suivants :   4 ans pour les impôts déclarés, 10 ans en cas de défaut de déclaration de l'impôt, 10 ans pour les droits de timbre dans tous les cas."""
"""Dans quel cas l'administration fiscale a-t-elle le droit de vérifier une période prescrite ?""";"""Elle peut vérifier une période prescrite en cas d'imputation de déficits reportés, d'amortissements différés ou de crédits d'impôt provenant des années prescrites ayant un effet sur les résultats ou sur le montant de l'impôt déclaré au titre des années non prescrites.   Cependant, cette vérification ne peut pas aboutir à une réclamation d'impôt supplémentaire sur les périodes prescrites."""
"""Quels sont les agents habilités à procéder à la vérification fiscale ?""";"""La vérification est effectuée par des agents de l'administration fiscale qui doivent être assermentés, présenter leur carte professionnelle et une copie de l'avis de vérification avant toute opération."""
"""Par qui le contribuable peut-il se faire assister ou représenter lors d'une vérification fiscale approfondie ?""";"""Le contribuable peut se faire assister par une personne de son choix ou se faire représenter par un mandataire conformément à la loi."""
"""Où se déroule la vérification fiscale approfondie ?""";"""Elle s'effectue dans les locaux de l'entreprise ou dans les bureaux de l'administration. Dans ce dernier cas, les échanges de registres et documents se font contre récépissés."""
"""Quelle est la durée de la vérification fiscale approfondie ?""";"""La durée ne doit pas dépasser 6 mois à partir du commencement effectif lorsque la vérification s'effectue sur la base d'une comptabilité, et 1 an dans les autres cas."""
""" La vérification fiscale approfondie peut-elle être interrompue ?""";"""Oui, à l'initiative de l'administration fiscale ou à la demande écrite et motivée du contribuable, pour une durée ne dépassant pas 60 jours.  
Les interruptions pour motifs attribués au contribuable ou à l'administration, dûment justifiées par correspondances, ne sont pas comptées dans la durée totale de la vérification."""
"""Comment est clôturée la vérification fiscale approfondie ?""";"""La vérification approfondie est clôturée par la notification au contribuable, par écrit, des redressements relatifs à sa situation fiscale et ce par les agents de l'administration fiscale, ou par lettre recommandée avec accusé de réception, ou par officiers des services financiers ou par huissiers-notaire. """
"""Quelles sont les conséquences de l’opposition par écrit du contribuable aux résultats de la vérification ?""";"""Lorsque le contribuable formule par écrit son opposition aux résultats de la vérification fiscale dans les délais légaux, cela suspend généralement la procédure de redressement jusqu’à ce que sa contestation soit examinée. L’administration fiscale doit alors instruire la réclamation, qui peut déboucher sur un accord amiable, une modification de l’avis initial, ou le maintien des rectifications. En cas de désaccord persistant, le contribuable peut saisir les commissions compétentes ou le tribunal administratif pour trancher le différend. Pendant cette période, le contribuable doit toutefois respecter ses obligations de paiement, sauf décision contraire de l’administration ou garantie fournie"""
"""L'administration est-elle en droit de vérifier de nouveau un contribuable vérifié ?""";"""La vérification approfondie est en principe définitive. Elle peut être exceptionnellement reprise pour la même période et pour les mêmes impôts en cas d'obtention de renseignements touchant à l'assiette et à la liquidation de l'impôt et dont l'administration n'a pas eu connaissance lors de la première vérification."""
"""Quelles sont les conséquences de la notification des résultats de la vérification fiscale ?""";"""La notification des résultats interrompt la prescription fiscale. Elle peut entraîner l’acceptation des redressements, une contestation formelle par le contribuable, ou le lancement d’une procédure contentieuse."""
"""L'administration est-elle en droit de vérifier de nouveau un contribuable vérifié ?""";"""La vérification approfondie est en principe définitive. Elle peut être exceptionnellement reprise pour la même période et pour les mêmes impôts en cas d'obtention de renseignements touchant à l'assiette et à la liquidation de l'impôt et dont l'administration n'a pas eu connaissance lors de la première vérification."""
"""Peut-on se faire restituer les impôts payés en trop ?""";"""Oui, les montants payés en trop peuvent être restitués dans un délai maximum de 3 ans à compter de la date à partir de laquelle l'impôt est devenu restituable, et au plus tard dans un délai de 5 ans à partir de la date du recouvrement."""
"""Quelles sont les formalités à suivre pour se faire restituer les impôts payés en trop ?""";"""La restitution du trop perçu nécessite : la présentation d’une demande écrite et motivée auprès des services de l'administration fiscale, la justification du dépôt des déclarations échues à la date de la demande."""
"""Quel est le délai de réponse de l'administration aux demandes en restitutions ?""";"""Délai général : 6 mois à compter de la date de la demande. """
"""Peut-on suspendre l'exécution de l'arrêté de taxation d'office ?""";"""L'exécution de l'arrêté de taxation d'office peut être suspendue si le contribuable engage un recours contentieux et fournit une garantie suffisante à l'administration, telle qu'un cautionnement ou un dépôt, conformément à la législation fiscale en vigueur."""
"""Quelles sont les procédures d'opposition à l'arrêté de taxation d'office ?""";"""L'opposition à l'arrêté de taxation d'office s'effectue dans un délai de 60 jours à compter de la date de la notification de l'arrêté, et ce, devant le tribunal de première instance dans la circonscription duquel se trouve le service de l'administration fiscale en charge du dossier, l'acceptation de l'opposition n'est pas conditionnée par le paiement de 20% du montant de l'impôt en principal objet de l'opposition ou par la production d'une caution bancaire pour le même montant."""
"""Peut-on transiger en matière fiscale ?""";"""Les infractions fiscales pénales peuvent faire l'objet de transaction avant le prononcé d'un jugement définitif, et ce, à l'exclusion des infractions relatives à la contrefaçon ou la falsification des timbres et des marques de l'Etat et au respect du secret professionnel."""
"""Est-ce qu’une société ayant pour activité l’élevage des animaux est soumise à la TCL ?""";"""Toutes les personnes morales soumises à l'impôt sur les sociétés sont soumises à la TCL."""
"""Les logements de fonction sont-ils soumis à la taxe sur les immeubles bâtis ?""";"""Les immeubles à usage d’habitation mis à la disposition des salariés sont soumis à la taxe sur les immeubles bâtis. Toutefois, les immeubles appartenant à l’Etat, aux établissements publics à caractère administratif ou aux collectivités locales et mis à la disposition des fonctionnaires gratuitement sont exonérés de ladite taxe."""
"""Q: Les terrains non bâtis appartenant aux promoteurs immobiliers sont-ils soumis à la taxe sur les terrains non bâtis ?""";"""Sont soumis à la taxe sur les terrains non bâtis les terrains non bâtis situés dans les zones relevant des collectivités locales. L’article 32 du code de la fiscalité locale a prévu l’exonération de cette taxe notamment, des terrains non bâtis situés dans les zones industrielles, d’habitation, de tourisme et dans les zones à usage artisanal ou professionnel et lotis conformément à la législation et à la réglementation en vigueur tant qu’ils n’ont pas fait l’objet de cession par le lotisseur."""
"""Une société totalement exportatrice est-elle soumise à la taxe sur les immeubles bâtis pour les locaux loués destinés à l’exercice de son activité ?""";"""Conformément à l’article 12 du code d’incitation aux investissements, les sociétés totalement exportatrices sont soumises notamment à la taxe d’entretien et d’assainissement qui a été remplacée en vertu de l'article 5 de la loi de promulgation du code de la fiscalité locale par la taxe sur les immeubles bâtis."""
"""Quelles sont les personnes redevables de la taxe sur les établissements à caractère industriel, commercial ou professionnel (TCL) ?""";"""Sont soumises à la TCL notamment : les personnes physiques soumises à l’impôt sur le revenu au titre des bénéfices industriels et commerciaux et des bénéfices des professions non commerciales, les personnes morales soumises à l’impôt sur les sociétés, les groupements d’intérêts économiques, les sociétés de personnes et les associations en participations exerçant une activité commerciale ou une profession non commerciale."""
"""Comment est calculée la TCL en cas de réalisation d’un déficit au cours d’un exercice ?""";"""En cas de réalisation d’un déficit appuyé par une comptabilité conforme à la législation comptable des entreprises, la « TCL » due au titre de l’année qui suit l’année de réalisation du déficit est calculée sur la base de 25% du minimum de l’impôt sur le revenu ou de l’impôt sur les sociétés prévus par les articles 44 et 49 du code de l’impôt sur le revenu des personnes physiques et de l’impôt sur les sociétés. Sachant que le résultat pris en compte est le résultat fiscal et non comptable."""
"""Comment est calculé le minimum de la « TCL » en cas d’exercice de deux ou plusieurs activités dans un même immeuble ?""";"""Le minimum de la TCL est dû par chaque personne exerçant une activité soumise à ladite taxe. Il s'ensuit qu'en cas d'exercice de deux ou plusieurs activités dans le même local, chaque personne exerçant une activité soumise à la TCL est redevable du minimum de ladite taxe. Ce minimum est calculé pour chaque activité sur la base de toute la superficie couverte de l'immeuble en question."""
"""Quels sont les services pris en compte pour le calcul de la taxe sur les immeubles bâtis et du minimum de la taxe sur les immeubles à caractère industriel, commercial ou professionnel ?""";"""Les services pris en compte pour le calcul de la taxe sur les immeubles bâtis et le minimum de la TCL sont : le nettoiement, l’existence de l’éclairage public, l’existence de chaussées goudronnées, l’existence du dallage des trottoirs, l’existence de réseaux d’évacuation des eaux usées, l’existence de réseaux d’évacuation des eaux pluviales."""
"""Quelles sont les modalités du calcul de la taxe sur les terrains non bâtis ?""";"""La taxe sur les terrains non bâtis peut être calculée soit : Sur la base de la valeur vénale réelle : Dans ce cas la taxe est égale à 0,3% de la valeur vénale réelle des terrains non bâtis. Ladite valeur est fixée sur la base du prix déclaré dans le contrat de vente. Sur la base d'une taxe de référence fixée par décret."""
"""Est-ce que les collectivités locales qui abritent des établissements relevant d'entreprises situées dans d’autres collectivités locales peuvent avoir une quote-part de la TCL ?""";"""Pour les entreprises dont l’activité s’étend sur plusieurs collectivités locales, la TCL est répartie entre les collectivités locales concernées et ce sur la base de la superficie couverte de chaque établissement situé à l’intérieur de chaque collectivité avec un minimum égal à la taxe sur les terrains non bâtis de l'immeuble situé dans la collectivité locale concernée."""
"""Quel est le taux de la retenue à la source au titre de la TVA applicable sur les marchés publics ?""";"""Les services de l'Etat sont tenus d'effectuer une retenue au taux de 25 % (à partir du 1er janvier 2016) sur le montant de la TVA applicable aux montants égaux ou supérieurs à 1000 DT y compris la TVA payée au titre de leurs acquisitions de marchandises, de matériels, de biens d'équipements, de services, des immeubles et de fonds de commerce."""
"""Quel est le régime en matière de TVA des écoles privées ?""";"""Les écoles privées sont soumises à la TVA au taux de 6 % à partir du 1er septembre 2016 et il faut s'adresser au bureau de contrôle compétent pour mettre à jour la patente."""
"""Quelle est la date limite de dépôt de la liste des factures d’achat relative aux bons de commande utilisés durant le 2ième trimestre pour une société totalement exportatrice ?""";"""La date limite est le 28ième jour qui suit le trimestre civil, en l'occurrence : le 28 juillet."""
"""Est-ce que les factures d’avoir doivent être déclarées dans les déclarations mensuelles de TVA ?""";"""L'obligation des assujettis de joindre à leur déclaration mensuelle un état indiquant la TVA perçue à l'occasion d'affaires qui sont, par la suite, résiliées ou annulées, a été abrogée par l'article 89 de la loi de finances pour l'année 2014."""
"""Quelle est la date d’effet d’assujettissement à la TVA au taux de 6 % des écoles privées ?""";"""Les services de l'enseignement et les services connexes sont soumis à la TVA au taux de 6 % à partir du 1er septembre 2016."""
"""Quel est le taux de la retenue à la source à appliquer sur la TVA relative aux montants supérieurs à 1000 DT payés par les services de l’Etat à partir du 01/01/2016 ?""";"""Les services de l'Etat, des collectivités locales, des entreprises et établissements publics sont tenus d'effectuer une retenue à la source au taux de 25% sur le montant de la TVA applicable aux montants égaux ou supérieurs à 1000 dinars y compris la TVA, au titre de leurs acquisitions de marchandises, matériels, biens d'équipements, services, immeubles et fonds de commerce et ce à partir du 01/01/2016 (article 19 bis du code de la TVA)."""
"""Est-ce que la vente d’un terrain non loti par un promoteur immobilier est soumise à la TVA ?""";"""Toutes les ventes des terrains lotis ou non lotis par les promoteurs immobiliers sont soumises à la TVA au taux de 18%, et ce, sur la base du prix de vente tous frais, droits et taxes inclus à l'exclusion de la TVA. (NC17/2016)."""
"""Est-ce que la rétribution provisoire ou accidentelle est imposable ?""";"""Toute rétribution provisoire ou accidentelle servie en sus du traitement et des indemnités régulières par le même employeur est soumise à une retenue sur son montant net, en fonction du traitement annuel imposable à l'impôt sur le revenu (paragraphe II de l'article 53 du code de l'IRPP et de l'IS)."""
"""Quelle est la base d’imposition à la TFP ?""";"""La TFP est due mensuellement sur la base du montant global des traitements, salaires y compris les avantages en nature avant toute déduction de retenue que ce soit au titre des cotisations sociales."""
"""Quel serait la base de calcul de la TCL pour une société totalement exportatrice enregistrant une perte justifiée par une comptabilité conforme à la législation ?""";"""En cas d'enregistrement d'une perte justifiée par une comptabilité conforme à la législation comptable des entreprises, la TCL est due aux taux de 25% du minimum d'impôt dû sur le chiffre d'affaires."""
""" Quel est le fait générateur de la TVA en cas de vente de marchandises (cas des commandes successives) ?""";"""Pour les ventes, le fait générateur de la TVA est constitué par la livraison de la marchandise. (article 5 du code de la TVA). Lorsqu'il s'agit de commandes successives, le fait générateur de la TVA est la livraison matérielle de la marchandise, et ce sans que le fait générateur ne soit postérieur à la date de la facture."""
"""Est-ce que les associations sont soumises à la TVA ?""";"""Les affaires à caractère philanthropique effectuées par les associations sont exonérées de la TVA (NC 14/2016), tandis que les autres opérations telles que les activités à caractère concurrentiel restent soumises à la TVA. Par conséquent, les associations sont considérées comme des assujettis partiels à la TVA."""
"""Quel est le taux de la TVA applicable aux médicaments et aux produits pharmaceutiques pour un pharmacien ?""";"""Les médicaments et les produits pharmaceutiques sont soumis à la TVA au taux de 6 % à partir du 1ier janvier 2016 (paragraphe I point 4 du tableau « B » nouveau annexé au code de la TVA), à l'exclusion des médicaments n'ayant pas de similaires fabriqués localement relatifs aux positions tarifaires 30.03 et 30.04 qui bénéficient de la suspension de la TVA."""
"""Quelle est la base de l’acompte provisionnel en cas de majoration du minimum d’impôt de 50 % ?""";"""Conformément aux articles 44 et 49 du code de l'IRPP et l'IS, le minimum d'impôt est majoré de 50% en cas de paiement après 30 jours de l'expiration des délais légaux. Cette majoration constitue un impôt et non pas des pénalités de retard et par voie de conséquence, elle fait partie de la base de calcul des acomptes provisionnels."""
"""Quel est le taux de la TVA applicable à l’activité d’ingénieur conseil ?""";"""Les services rendus par les ingénieurs conseils sont soumis à la TVA au taux de 12 % (II -3 du Tableau « B bis » nouveau annexé au code de la TVA)."""
"""Quels sont les secteurs soumis à la TVA ?""";"""La TVA s’applique aux activités de vente de biens et prestations de services réalisées en Tunisie, notamment le commerce, l’industrie, les services professionnels, la restauration, le transport, et la construction. Certaines activités spécifiques peuvent être exonérées ou soumises à des régimes particuliers."""
"""Peut-on opter pour le régime de la TVA ?""";"""Peuvent opter pour le régime de la TVA : les personnes physiques soumises à l’IRPP selon le régime forfaitaire (bénéfices industriels et commerciaux), les personnes exerçant une activité située hors champ d’application de la TVA. Les personnes exerçant une activité exonérée de la TVA et ce au titre des produits destinés à : l’exportation, l’approvisionnement des assujettis à la TVA."""
"""Est-ce que les assujettis à la TVA par option peuvent bénéficier d’un crédit de départ au titre des biens détenus à la date de l’option ?""";"""Oui. Ils peuvent bénéficier d’un crédit de départ correspondant à la TVA grevant les biens, matières, produits ou immobilisations détenus à la date d’effet de l’option, sous réserve que ces biens soient affectés à l’activité imposable et que la TVA initialement supportée soit justifiée par des factures conformes."""
"""Les opérations de ventes de biens par un importateur avant le dédouanement sont-elles imposables à la TVA ?""";"""L’opération de cession à quai des marchandises avant l’accomplissement des formalités douanières n’est pas soumise à la TVA au niveau du cédant. C’est l’acquéreur qui supporte les droits et taxes dus à l’importation y compris la TVA à l’occasion du dédouanement des biens objet de la cession."""
"""Dans quels cas les services sont imposables à la TVA en Tunisie ?""";"""Les services sont imposables à la TVA s’ils sont exploités ou utilisés en Tunisie, nonobstant le lieu de leur réalisation."""
"""Les suppléments de prix pour paiement à terme font-ils partie de l’assiette de la TVA ?""";"""La TVA s’applique sur le prix principal et toutes les charges augmentatives du prix. À titre d’exemple, les intérêts pour paiement à terme ou pour retard de paiement portés ou non sur la facture, arrêtés lors de la vente ou postérieurement, font partie intégrante de l'assiette taxable."""
"""Les frais et taxes avancés par un huissier notaire au nom et pour le compte de son client font-ils partie de l’assiette de la TVA ?""";"""Le chiffre d’affaires de l’huissier notaire comprend le prix des prestations de services y compris tous les frais, droits et taxes ainsi que la valeur des objets remis en paiement, à l’exclusion de : la TVA, les droits d’enregistrement et de timbre fiscal, les frais de poste relatifs aux lettres recommandées que les huissiers notaires paient au lieu et place de leurs clients."""
"""Les autres impôts indirects font-ils partie de l’assiette de la TVA ?""";"""L'assiette de la TVA comprend tous les impôts et droits indirects incorporés dans la valeur du produit vendu ou du service rendu : droits de douanes, droits de consommation, taxe professionnelle au profit du fonds de développement de la compétitivité industrielle (FODEC) et la taxe au profit du Fonds de maîtrise de l’énergie."""
"""Quel est le sort de la TVA relative à l’acquisition des vêtements de travail ?""";"""Est déductible de la TVA due sur le chiffre d’affaires la TVA payée au titre des vêtements de travail ou de protection utilisés par les employés pour les besoins de l’activité."""
"""Les majorations de prix pour rapidité d'exécution font-elles partie de l’assiette de la TVA ?""";"""Lorsque les parties conviennent que le prix est majoré d'une prime au titre de la livraison du bien ou de l’ouvrage avant le délai contractuel, le complément du prix y afférent fait partie de l'assiette taxable puisqu'il constitue un élément du prix global facturé, que la prime soit mentionnée au contrat initial ou dans les avenants"""
"""Régime fiscal applicable en matière de TVA aux travaux de chauffage central et sanitaires réalisés par un entrepreneur au profit d’une entreprise qui se charge d’importer ou d’acheter en son nom tout ou partie des fournitures prévues dans le contrat ?""";"""Conformément aux dispositions de l’article 9 du code de la TVA, lorsque deux entreprises sont liées par un contrat pour la réalisation d’un marché comportant fournitures d’équipements et réalisation de travaux, et que le maître de l’ouvrage importe ou achète en son nom tout ou partie des fournitures prévues dans le contrat, la TVA payée par le maître de l’ouvrage ouvre droit à déduction au niveau de l’entreprise qui a réalisé l’ouvrage."""
"""La retenue de garantie effectuée par le maître de l'ouvrage sur le coût du marché fait-t-elle partie de l’assiette de la TVA ?""";"""Le montant de la retenue de garantie inclus dans la facture ou le mémoire remis en contrepartie de la livraison de l'ouvrage ou des prestations fait partie de l'assiette taxable. Pour les opérations concernées par la retenue à la source en matière de TVA et dont le fait générateur coïncide avec l’encaissement, la retenue de garantie est soumise à la taxe sur la valeur ajoutée lors de l’encaissement."""
